pipeline,generator,generator_label,embedder,embedder_label,top_k,sas,grounded_sas_hit,grounded_sas_all
P2,Maternion/lfm2:8b,LFM2:8B,all-MiniLM-L6-v2,MiniLM-L6,5,0.48938271427340807,0.4780267033409327,0.2587294844761491
P2,Maternion/lfm2:8b,LFM2:8B,qwen3-embedding:4b,QwenEmb-4B,10,0.48712939231097696,0.4839731817152351,0.32619255493022503
P2,Maternion/lfm2:8b,LFM2:8B,qwen3-embedding:4b,QwenEmb-4B,5,0.4708255556859076,0.4688751655071974,0.2735592011604458
P2,Maternion/lfm2:8b,LFM2:8B,nomic-embed-text:v1.5,Nomic-v1.5,10,0.4073569552209228,0.3438828313816339,0.11226867625117302
P2,Maternion/lfm2:8b,LFM2:8B,nomic-embed-text:v1.5,Nomic-v1.5,5,0.38096004268713296,0.3161583323441446,0.08513607722520829
P2,qwen3:0.6b,Qwen3:0.6B,qwen3-embedding:4b,QwenEmb-4B,5,0.3536909353921194,0.3532755567294682,0.21300571696843976
P2,qwen3:0.6b,Qwen3:0.6B,qwen3-embedding:4b,QwenEmb-4B,10,0.334159328975162,0.33393013238626706,0.24180002441266324
P2,qwen3:0.6b,Qwen3:0.6B,all-MiniLM-L6-v2,MiniLM-L6,5,0.31688223309024716,0.3151636984368617,0.177824320679888
P2,qwen3:0.6b,Qwen3:0.6B,all-MiniLM-L6-v2,MiniLM-L6,10,0.3071220039883741,0.3066979430253098,0.1999076840348063
P2,qwen3:0.6b,Qwen3:0.6B,nomic-embed-text:v1.5,Nomic-v1.5,5,0.22989763216803252,0.2197920343083455,0.07052039104125929
P2,qwen3:0.6b,Qwen3:0.6B,nomic-embed-text:v1.5,Nomic-v1.5,10,0.21599460439756513,0.207311091625372,0.0816038046332617
P2,qwen3:1.7b,Qwen3:1.7B,qwen3-embedding:4b,QwenEmb-4B,10,0.4925627332689413,0.49180239130813913,0.3354075131844355
P2,qwen3:1.7b,Qwen3:1.7B,all-MiniLM-L6-v2,MiniLM-L6,10,0.4823972708228976,0.4819695431198925,0.30614442584477364
P2,qwen3:1.7b,Qwen3:1.7B,qwen3-embedding:4b,QwenEmb-4B,5,0.48158866087214114,0.48010200288438476,0.2793380517389132
P2,qwen3:1.7b,Qwen3:1.7B,all-MiniLM-L6-v2,MiniLM-L6,5,0.481190343348231,0.47758245319762604,0.27198672486666986
P2,qwen3:1.7b,Qwen3:1.7B,nomic-embed-text:v1.5,Nomic-v1.5,10,0.34598581246109733,0.3340482014967822,0.11462495162505919
P2,qwen3:1.7b,Qwen3:1.7B,nomic-embed-text:v1.5,Nomic-v1.5,5,0.3271515053666888,0.30888410114623127,0.09454564215247369
P2,qwen3:14b,Qwen3:14B,qwen3-embedding:4b,QwenEmb-4B,10,0.43034568451016486,0.4301197030665521,0.2968146907173112
P2,qwen3:14b,Qwen3:14B,all-MiniLM-L6-v2,MiniLM-L6,10,0.4235062968139219,0.42308223576296167,0.2727147451355066
P2,qwen3:14b,Qwen3:14B,all-MiniLM-L6-v2,MiniLM-L6,5,0.41665879160516667,0.4149540318960029,0.24026557743803173
P2,qwen3:14b,Qwen3:14B,qwen3-embedding:4b,QwenEmb-4B,5,0.4146602678410634,0.41424947347064733,0.24831285199686376
P2,qwen3:14b,Qwen3:14B,nomic-embed-text:v1.5,Nomic-v1.5,10,0.30523796474004916,0.29724475783379917,0.10702293557124232
P2,qwen3:14b,Qwen3:14B,nomic-embed-text:v1.5,Nomic-v1.5,5,0.28472902215009405,0.27528242966372946,0.08093227645408414
P2,qwen3:30b,Qwen3:30B,all-MiniLM-L6-v2,MiniLM-L6,10,0.6476215146098947,0.6471957436804059,0.4117925399238424
P2,qwen3:30b,Qwen3:30B,qwen3-embedding:4b,QwenEmb-4B,10,0.646501346160265,0.6454587444666788,0.46069152854255824
P2,qwen3:30b,Qwen3:30B,qwen3-embedding:4b,QwenEmb-4B,5,0.6146089171740156,0.6142004721135979,0.3792115779889067
P2,qwen3:30b,Qwen3:30B,all-MiniLM-L6-v2,MiniLM-L6,5,0.6107657944957013,0.6089197111764719,0.34829131590941476
P2,qwen3:30b,Qwen3:30B,nomic-embed-text:v1.5,Nomic-v1.5,10,0.43669349563980786,0.4277868907733762,0.1552877882907778
P2,qwen3:30b,Qwen3:30B,nomic-embed-text:v1.5,Nomic-v1.5,5,0.4100924000416496,0.39781136421079866,0.12214848637125475
P2,qwen3:4b,Qwen3:4B,qwen3-embedding:4b,QwenEmb-4B,10,0.6152688750368823,0.6150424399648804,0.4323735716771409
P2,qwen3:4b,Qwen3:4B,qwen3-embedding:4b,QwenEmb-4B,5,0.6073402654640376,0.6069309284351766,0.3656060007698834
P2,qwen3:4b,Qwen3:4B,all-MiniLM-L6-v2,MiniLM-L6,10,0.6033657142594456,0.6018237470760941,0.381775737605989
P2,qwen3:4b,Qwen3:4B,all-MiniLM-L6-v2,MiniLM-L6,5,0.5868828179508836,0.5842722648426233,0.3314588947598645
P2,qwen3:4b,Qwen3:4B,nomic-embed-text:v1.5,Nomic-v1.5,10,0.4217665594496684,0.4097475741331079,0.1503295780930347
P2,qwen3:4b,Qwen3:4B,nomic-embed-text:v1.5,Nomic-v1.5,5,0.38170609078052115,0.37003140398357287,0.11593389485674689
P2,qwen3:8b,Qwen3:8B,all-MiniLM-L6-v2,MiniLM-L6,10,0.46276020939461887,0.4620355751477182,0.29181384792551396
P2,qwen3:8b,Qwen3:8B,qwen3-embedding:4b,QwenEmb-4B,10,0.45784593178856986,0.45740293226687306,0.31434645258585914
P2,qwen3:8b,Qwen3:8B,qwen3-embedding:4b,QwenEmb-4B,5,0.4444271312067117,0.443806250313563,0.2646281277194949
P2,qwen3:8b,Qwen3:8B,all-MiniLM-L6-v2,MiniLM-L6,5,0.4365393753915307,0.4348092457320706,0.25098393217148074
P2,qwen3:8b,Qwen3:8B,nomic-embed-text:v1.5,Nomic-v1.5,10,0.3168260798731703,0.30859861393199717,0.11351650162695166
P2,qwen3:8b,Qwen3:8B,nomic-embed-text:v1.5,Nomic-v1.5,5,0.3056644903346896,0.2932371317371726,0.09084944317117333
P3,gpt-oss:20b,GPT-OSS:20B,all-MiniLM-L6-v2,MiniLM-L6,10,0.4812361885435014,0.48069269318027374,0.28577429214169986
P3,gpt-oss:20b,GPT-OSS:20B,all-MiniLM-L6-v2,MiniLM-L6,5,0.46217374835125724,0.46050113768062806,0.24645216182777377
P3,gpt-oss:20b,GPT-OSS:20B,qwen3-embedding:4b,QwenEmb-4B,10,0.41113451742171214,0.40537669524542896,0.20057146825642902
P3,gpt-oss:20b,GPT-OSS:20B,qwen3-embedding:4b,QwenEmb-4B,5,0.3749068616795534,0.37130492299442147,0.1531225473905403
P3,gpt-oss:20b,GPT-OSS:20B,nomic-embed-text:v1.5,Nomic-v1.5,10,0.22593077803925746,0.214166788875691,0.09636311673945872
P3,gpt-oss:20b,GPT-OSS:20B,nomic-embed-text:v1.5,Nomic-v1.5,5,0.20670451817969823,0.19370195186842407,0.07506784866989022
P3,gemma3:12b,Gemma3:12B,all-MiniLM-L6-v2,MiniLM-L6,10,0.47558751633018254,0.47461655619740484,0.28145031003840265
P3,gemma3:12b,Gemma3:12B,all-MiniLM-L6-v2,MiniLM-L6,5,0.4672707122657448,0.4637745559066534,0.25021394795551893
P3,gemma3:12b,Gemma3:12B,qwen3-embedding:4b,QwenEmb-4B,10,0.3831774518713355,0.37729884157329796,0.1828442827668041
P3,gemma3:12b,Gemma3:12B,qwen3-embedding:4b,QwenEmb-4B,5,0.3401987229306251,0.3365728281028569,0.15073446991108358
P3,gemma3:12b,Gemma3:12B,nomic-embed-text:v1.5,Nomic-v1.5,10,0.24137991245649754,0.22529732069559397,0.09526465887203812
P3,gemma3:12b,Gemma3:12B,nomic-embed-text:v1.5,Nomic-v1.5,5,0.21581137712858617,0.19909332026913762,0.0778051154948771
P3,gemma3:4b,Gemma3:4B,all-MiniLM-L6-v2,MiniLM-L6,10,0.4583352766595781,0.4568360708802938,0.27106714716367425
P3,gemma3:4b,Gemma3:4B,all-MiniLM-L6-v2,MiniLM-L6,5,0.4477947376891971,0.44519720853306355,0.24945546635054053
P3,gemma3:4b,Gemma3:4B,qwen3-embedding:4b,QwenEmb-4B,10,0.3844398456662893,0.37653328449837864,0.18639904537796975
P3,gemma3:4b,Gemma3:4B,qwen3-embedding:4b,QwenEmb-4B,5,0.33554236313514413,0.329880628766492,0.14157835368812083
P3,gemma3:4b,Gemma3:4B,nomic-embed-text:v1.5,Nomic-v1.5,10,0.2701239809691906,0.2602704161070287,0.0922328492924571
P3,gemma3:4b,Gemma3:4B,nomic-embed-text:v1.5,Nomic-v1.5,5,0.24935972787253557,0.23905749222822487,0.07934088535048067
P3,granite4:7b-a1b-h,Granite4:7B,all-MiniLM-L6-v2,MiniLM-L6,10,0.46503445334360005,0.4512351144682616,0.26705700415186584
P3,granite4:7b-a1b-h,Granite4:7B,all-MiniLM-L6-v2,MiniLM-L6,5,0.4481396491285414,0.4348657020032406,0.2302200211081654
P3,granite4:7b-a1b-h,Granite4:7B,qwen3-embedding:4b,QwenEmb-4B,10,0.4479569009281695,0.4197004746738821,0.19205855802819133
P3,granite4:7b-a1b-h,Granite4:7B,qwen3-embedding:4b,QwenEmb-4B,5,0.40615449869446457,0.3846560337189585,0.16400179663859307
P3,granite4:7b-a1b-h,Granite4:7B,nomic-embed-text:v1.5,Nomic-v1.5,10,0.27612475992925467,0.21434397756122053,0.08560784652084112
P3,granite4:7b-a1b-h,Granite4:7B,nomic-embed-text:v1.5,Nomic-v1.5,5,0.24655551509000362,0.1983620768431574,0.07041612524539233
P3,lfm2.5-thinking:1.2b,LFM2.5:1.2B,qwen3-embedding:4b,QwenEmb-4B,10,0.6312411507237703,0.6192393983528018,0.37181401398591696
P3,lfm2.5-thinking:1.2b,LFM2.5:1.2B,qwen3-embedding:4b,QwenEmb-4B,5,0.6229335919804871,0.6053791339322925,0.31150702845677736
P3,lfm2.5-thinking:1.2b,LFM2.5:1.2B,all-MiniLM-L6-v2,MiniLM-L6,10,0.4521667650565505,0.4033781236987561,0.18489723598584532
P3,lfm2.5-thinking:1.2b,LFM2.5:1.2B,all-MiniLM-L6-v2,MiniLM-L6,5,0.4499222117997706,0.3745759155377746,0.14612363311834634
P3,lfm2.5-thinking:1.2b,LFM2.5:1.2B,nomic-embed-text:v1.5,Nomic-v1.5,10,0.2736988183185458,0.2114911883585155,0.046708760058507326
P3,lfm2.5-thinking:1.2b,LFM2.5:1.2B,nomic-embed-text:v1.5,Nomic-v1.5,5,0.2733817913122475,0.18355416419543327,0.04359498400986195
P3,Maternion/lfm2:8b,LFM2:8B,all-MiniLM-L6-v2,MiniLM-L6,10,0.48867507273703814,0.48259992308728394,0.3052541932482272
P3,Maternion/lfm2:8b,LFM2:8B,all-MiniLM-L6-v2,MiniLM-L6,5,0.47373478681966663,0.4657656183540821,0.25408020434714856
P3,Maternion/lfm2:8b,LFM2:8B,qwen3-embedding:4b,QwenEmb-4B,10,0.4695347429327667,0.46580247414670883,0.29055279788188637
P3,Maternion/lfm2:8b,LFM2:8B,qwen3-embedding:4b,QwenEmb-4B,5,0.46877695563435556,0.46275619213283065,0.2368931756336242
P3,Maternion/lfm2:8b,LFM2:8B,nomic-embed-text:v1.5,Nomic-v1.5,10,0.3285172657482326,0.2691236492153257,0.09452408459968865
P3,Maternion/lfm2:8b,LFM2:8B,nomic-embed-text:v1.5,Nomic-v1.5,5,0.30553497252240774,0.24499425951577722,0.07665602470375597
P3,qwen3:0.6b,Qwen3:0.6B,qwen3-embedding:4b,QwenEmb-4B,10,0.35015210651637996,0.3489148845153329,0.23393945694950066
P3,qwen3:0.6b,Qwen3:0.6B,all-MiniLM-L6-v2,MiniLM-L6,10,0.3395506265361195,0.3374947719200234,0.20612188910012988
P3,qwen3:0.6b,Qwen3:0.6B,qwen3-embedding:4b,QwenEmb-4B,5,0.32247506111638896,0.3212316811703084,0.17756454892586307
P3,qwen3:0.6b,Qwen3:0.6B,all-MiniLM-L6-v2,MiniLM-L6,5,0.32207079223836915,0.3190158567889923,0.17021766904779154
P3,qwen3:0.6b,Qwen3:0.6B,nomic-embed-text:v1.5,Nomic-v1.5,5,0.21137930779162073,0.20037807668221272,0.05553344679027496
P3,qwen3:0.6b,Qwen3:0.6B,nomic-embed-text:v1.5,Nomic-v1.5,10,0.20974134725721313,0.20020720776313194,0.07324085638467823
P3,qwen3:1.7b,Qwen3:1.7B,all-MiniLM-L6-v2,MiniLM-L6,5,0.45138703767232913,0.4460384989361341,0.23796867747162043
P3,qwen3:1.7b,Qwen3:1.7B,all-MiniLM-L6-v2,MiniLM-L6,10,0.45092521013378434,0.4483474143450177,0.26839736050928037
P3,qwen3:1.7b,Qwen3:1.7B,qwen3-embedding:4b,QwenEmb-4B,10,0.4195479614436778,0.4141576207466272,0.24158708289894085
P3,qwen3:1.7b,Qwen3:1.7B,qwen3-embedding:4b,QwenEmb-4B,5,0.39082818889334375,0.38545814259279415,0.20293451967811296
P3,qwen3:1.7b,Qwen3:1.7B,nomic-embed-text:v1.5,Nomic-v1.5,10,0.2662891519900698,0.24839654754892534,0.10196863136702945
P3,qwen3:1.7b,Qwen3:1.7B,nomic-embed-text:v1.5,Nomic-v1.5,5,0.2538206276474427,0.22985624047278455,0.07873755979041258
P3,qwen3:14b,Qwen3:14B,all-MiniLM-L6-v2,MiniLM-L6,10,0.4186348318247878,0.41818483111446714,0.27343561086368934
P3,qwen3:14b,Qwen3:14B,all-MiniLM-L6-v2,MiniLM-L6,5,0.40762402729667496,0.4058524567125873,0.23456195597772045
P3,qwen3:14b,Qwen3:14B,qwen3-embedding:4b,QwenEmb-4B,10,0.36802951408591367,0.3666964872783309,0.1972593960466549
P3,qwen3:14b,Qwen3:14B,qwen3-embedding:4b,QwenEmb-4B,5,0.36044900673618896,0.3580089602488763,0.16201497657497027
P3,qwen3:14b,Qwen3:14B,nomic-embed-text:v1.5,Nomic-v1.5,10,0.21661697268553212,0.20519756230120667,0.09138343366374353
P3,qwen3:14b,Qwen3:14B,nomic-embed-text:v1.5,Nomic-v1.5,5,0.18693124497847924,0.1759845113912859,0.062272117486275945
P3,qwen3:30b,Qwen3:30B,all-MiniLM-L6-v2,MiniLM-L6,10,0.5914093444716013,0.5896428304216571,0.3564191500972994
P3,qwen3:30b,Qwen3:30B,all-MiniLM-L6-v2,MiniLM-L6,5,0.5746151961102515,0.5723031841364049,0.30470535537612464
P3,qwen3:30b,Qwen3:30B,qwen3-embedding:4b,QwenEmb-4B,10,0.3986881804095215,0.3932209784823309,0.19296190677300454
P3,qwen3:30b,Qwen3:30B,qwen3-embedding:4b,QwenEmb-4B,5,0.3677410390022732,0.363740406275348,0.15167746174602745
P3,qwen3:30b,Qwen3:30B,nomic-embed-text:v1.5,Nomic-v1.5,10,0.23636746541969478,0.22488900209590793,0.09537678103335202
P3,qwen3:30b,Qwen3:30B,nomic-embed-text:v1.5,Nomic-v1.5,5,0.20428105635019783,0.19018534806096005,0.0733387536408458
P3,qwen3:4b,Qwen3:4B,all-MiniLM-L6-v2,MiniLM-L6,10,0.5788725131323826,0.5770260513030395,0.338191648538342
P3,qwen3:4b,Qwen3:4B,all-MiniLM-L6-v2,MiniLM-L6,5,0.5424132382564516,0.5412958446164507,0.274026312212643
P3,qwen3:4b,Qwen3:4B,qwen3-embedding:4b,QwenEmb-4B,10,0.43217247984519525,0.42446436392206827,0.22066618955296602
P3,qwen3:4b,Qwen3:4B,qwen3-embedding:4b,QwenEmb-4B,5,0.3988745733125057,0.39423409765978196,0.17613586704274695
P3,qwen3:4b,Qwen3:4B,nomic-embed-text:v1.5,Nomic-v1.5,10,0.23718912295161004,0.2231080964868347,0.09018890616411197
P3,qwen3:4b,Qwen3:4B,nomic-embed-text:v1.5,Nomic-v1.5,5,0.2097331475559622,0.1937040668576956,0.0710213986132294
P3,qwen3:8b,Qwen3:8B,all-MiniLM-L6-v2,MiniLM-L6,10,0.4512775147533985,0.4486851137052111,0.2866896466157469
P3,qwen3:8b,Qwen3:8B,all-MiniLM-L6-v2,MiniLM-L6,5,0.42993684348584427,0.4281734823108171,0.23258156580944556
P3,qwen3:8b,Qwen3:8B,qwen3-embedding:4b,QwenEmb-4B,10,0.4058934376492101,0.4014664105561973,0.23081532835598417
P3,qwen3:8b,Qwen3:8B,qwen3-embedding:4b,QwenEmb-4B,5,0.39660838568160833,0.3939189636110807,0.17758078467636276
P3,qwen3:8b,Qwen3:8B,nomic-embed-text:v1.5,Nomic-v1.5,10,0.24460941658289445,0.23446894849490638,0.10500689177124789
P3,qwen3:8b,Qwen3:8B,nomic-embed-text:v1.5,Nomic-v1.5,5,0.2194083636147743,0.20721468145427432,0.07358584931376673
